2017-01-01,87,ASCENDING,44,-12.4863,-20.5285,35.6588
2017-01-05,87,DESCENDING,95,-13.7800,-21.5318,36.5269
2017-01-06,87,ASCENDING,117,-15.1774,-23.7860,44.6853
2017-01-12,87,DESCENDING,22,-9999.0000,-9999.0000,-9999.0000
2017-01-13,87,ASCENDING,44,-8.8922,-15.2969,35.6585
2017-01-18,87,ASCENDING,117,-9.5503,-18.4098,44.6858
2017-01-24,87,DESCENDING,22,-9999.0000,-9999.0000,-9999.0000
2017-01-25,87,ASCENDING,44,-8.8923,-18.7138,35.6586
2017-01-29,87,DESCENDING,95,-12.6131,-22.3457,36.5282
2017-01-30,87,ASCENDING,117,-9.9915,-18.2879,44.6866
2017-02-05,87,DESCENDING,22,-9999.0000,-9999.0000,-9999.0000
2017-02-06,87,ASCENDING,44,-7.8314,-15.8641,35.6594
2017-02-10,87,DESCENDING,95,-7.8482,-17.6775,35.6824
2017-02-11,87,ASCENDING,117,-8.6111,-17.0929,44.6870
2017-02-18,87,ASCENDING,44,-9.0316,-17.3589,35.6596
2017-02-22,87,DESCENDING,95,-8.7684,-15.8319,36.5267
2017-02-23,87,ASCENDING,117,-9.7644,-16.6615,44.6873
2017-03-01,87,DESCENDING,22,-9999.0000,-9999.0000,-9999.0000
2017-03-02,87,ASCENDING,44,-9.0094,-15.9544,35.6608
2017-03-06,87,DESCENDING,95,-8.6700,-14.8435,36.5286
2017-03-07,87,ASCENDING,117,-10.2001,-16.4470,44.6883
2017-03-13,87,DESCENDING,22,-9999.0000,-9999.0000,-9999.0000
2017-03-14,87,ASCENDING,44,-10.2341,-16.5479,35.6624
2017-03-18,87,DESCENDING,95,-10.7670,-16.3874,36.5309
2017-03-19,87,ASCENDING,117,-11.8625,-17.1075,44.6897
2017-03-25,87,DESCENDING,22,-9999.0000,-9999.0000,-9999.0000
2017-03-26,87,ASCENDING,44,-13.3345,-17.6676,35.6631
2017-03-30,87,DESCENDING,95,-14.0985,-17.3425,36.5328
2017-03-31,87,ASCENDING,117,-15.6577,-18.7671,44.6905
2017-04-06,87,DESCENDING,22,-9999.0000,-9999.0000,-9999.0000
2017-04-07,87,ASCENDING,44,-15.0936,-18.5149,35.6683
2017-04-11,87,DESCENDING,95,-14.9680,-18.3364,36.5293
2017-04-12,87,ASCENDING,117,-16.9752,-20.0885,44.6948
2017-04-18,87,DESCENDING,22,-9999.0000,-9999.0000,-9999.0000
2017-04-19,87,ASCENDING,44,-15.9710,-19.5305,35.6684
2017-04-23,87,DESCENDING,95,-15.9669,-19.9642,36.5325
2017-04-24,87,ASCENDING,117,-17.9719,-21.7301,44.6941
2017-04-30,87,DESCENDING,22,-9999.0000,-9999.0000,-9999.0000
2017-05-01,87,ASCENDING,44,-13.8888,-18.2154,35.6671
2017-05-05,87,DESCENDING,95,-12.7842,-17.1673,36.5308
2017-05-06,87,ASCENDING,117,-13.2836,-19.6575,44.6960
2017-05-12,87,DESCENDING,22,-9999.0000,-9999.0000,-9999.0000
2017-05-13,87,ASCENDING,44,-14.1680,-18.9019,35.6692
2017-05-17,87,DESCENDING,95,-13.2923,-18.2833,36.5311
2017-05-18,87,ASCENDING,117,-12.6320,-19.0175,44.6945
2017-05-24,87,DESCENDING,22,-11.8596,-18.2801,44.9190
2017-05-25,87,ASCENDING,44,-12.1411,-17.1414,35.6873
2017-05-29,87,DESCENDING,95,-12.4535,-17.0261,35.6796
2017-05-30,87,ASCENDING,117,-11.3951,-17.6413,44.7000
2017-06-05,87,DESCENDING,22,-11.2958,-17.1380,44.9176
2017-06-06,87,ASCENDING,44,-11.2008,-16.0153,35.6850
2017-06-10,87,DESCENDING,95,-10.9824,-16.1717,35.6813
2017-06-11,87,ASCENDING,117,-11.1086,-16.8247,44.6986
2017-06-17,87,DESCENDING,22,-9.7660,-16.6712,44.9186
2017-06-18,87,ASCENDING,44,-12.4226,-17.0745,35.6839
2017-06-22,87,DESCENDING,95,-12.2957,-17.9049,35.6791
2017-06-23,87,ASCENDING,117,-12.5503,-18.7976,44.7002
2017-06-29,87,DESCENDING,22,-7.7670,-12.1364,44.9185
2017-06-30,87,ASCENDING,44,-8.9483,-14.8338,35.6852
2017-07-04,87,DESCENDING,95,-8.2289,-13.7364,35.6816
2017-07-05,87,ASCENDING,117,-9.1081,-17.0466,44.6985
2017-07-11,87,DESCENDING,22,-12.6458,-19.0314,44.9190
2017-07-12,87,ASCENDING,44,-9.1080,-18.3424,35.6843
2017-07-16,87,DESCENDING,95,-10.3040,-19.1548,35.6823
2017-07-17,87,ASCENDING,117,-9.8037,-19.0398,44.6983
2017-07-23,87,DESCENDING,22,-12.3954,-18.5309,44.9178
2017-07-24,87,ASCENDING,44,-9.2038,-14.2343,35.6850
2017-07-28,87,DESCENDING,95,-9.8927,-17.3389,35.6798
